Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_797	1	0	0	0.00262368	0	1	-0.739451436	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_8001	5	1409.884149	19340	0.030581286	0	2	0.368865359	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Ferruginibacter	Bacteria_Bacteroidetes	2012_control
X16S_804	2	377	4077	0.008377034	0	2	-0.409210007	0	Bacteria	Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Chloroflexi	2012_control
X16S_8043	1	0	0	4.63e-136	0	73	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unclassified	Unclassified	Gp16	Bacteria_Acidobacteria	2012_control
X16S_81	1	0	0	4.63e-136	0	72	0	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria	2012_control
X16S_8100	5	4.757142857	16	1.29e-53	0.4	17	0.718184846	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes	2012_control
X16S_811	1	0	0	4.63e-136	0	71	0	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Unclassified	Bacteria_Bacteroidetes	2012_control
X16S_816	1	0	0	4.63e-136	0	85	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria	2012_control
X16S_820	1	0	0	4.63e-136	0	70	0	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_821	1	0	0	4.63e-136	0	69	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Pasteuriaceae	Pasteuria	Bacteria_Firmicutes	2012_control
X16S_826	2	3	3	2.21e-102	0	16	0.5	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_8288	14	2695.31782	39786	0.082191628	0	2	1.665657636	0.469387755	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Bacteria_Proteobacteria	2012_control
X16S_8324	1	0	0	0.000689482	0	20	0	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Unclassified	Bacteria_Bacteroidetes	2012_control
X16S_84	1	0	0	4.63e-136	0	68	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_842	1	0	0	0.003944294	0	1	-0.739451436	0	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3_genera_incertae_sedis	Bacteria_Verrucomicrobia	2012_control
X16S_8428	2	23.91127372	86	0.019749871	0	2	-0.668568463	0.5	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Bacteria_Bacteroidetes	2012_control
X16S_8466	2	16.0851966	190	0.000250137	0	7	0.160128154	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	Bacteria_Planctomycetes	2012_control
